question,answer
소학회 언제까지 가입해야하나요?, 상시모집!
정시생 긱사 발표나신 분 결핵검사서 스캔한거 메일 보내셨나요?,"""격리 해제 후 입사하기 전에 결핵검사 결과 생활관으로 제출 바랍니다. 이메일 주소는 jjjang@ajou.ac.kr (j가 3개) 입니다."""
결핵검사한거는 어떻게 내야됨??,"""격리 해제 후 입사하기 전에 결핵검사 결과 생활관으로 제출 바랍니다. 이메일 주소는 jjjang@ajou.ac.kr (j가 3개) 입니다."""
기숙사 배달 어떻게 시켜요?? 본인 호실로 시키는 곤가요? 1층 내려가서 받고 휴게실에서 먹는건가,(16499) 경기도 수권시 영통구 월드컵로 206 아주대학교  oo.관 oooo호 로 주문하면 돼!
국제학사 택배 주소 양식 아시는 분글고 택배실 따로 잇나요??,(16499) 경기도 수원시 영통구 월드컵로 206 아주대학교 oo관 oooo호. 무인택배함이 보관해줄꺼야!
남제관으로 택배보낼때 아주대학교 주소에다가 남제관까지 쓰면 되는건가요??,"(16499) 수원시 영통구 월드컵로 206, 아주대학교 oo관 oooo호"
아주대는 자동수강신청 학점=최소이수학점 인가..?,0학점만 아니면 되는데 자동은 못빼니까 1학년은 그말대로긴 함 사실상. 2학년부턴 1학점만 해도 일단은 문제없어
수강신청할 때 10시 땡하고 신청 누르는거에요 아니면 10시 전에 신청누르고 10시 딱 되자마자 인증번호 입력한거 확인누르는거에요?,10시 딱 되면 로그인 버튼 누르는 거야! 그 후에 각 과목 신청 버튼 누르면 자동 입력 방지용 인증 번호가 뜨는 거
저녁에도 학생회관 식당 열려있음?,10시~ 19시까지야! 중간에 브레이크타임 잘 확인해!
2학년때 인공지능 융합학과 복전하고 싶은데 1학년 1학기때 전공과목은 들을 수 없는건가요?,1-1에는 전공과목 수강이 불가능해 ㅠㅠ
자동으로 11학점 신청 됬는데 이거만 들으면 어케되냐?꼭 나머지 수강신청 해야됨?,12학점 이상은 들어야 학교 생활에 제약 같은거 없어요 굳이 안하셔도 되긴 합니다
미디어학과인데 1학기 최대 학점 몇인지 아는사람,"19(22는 누계 평점 3.75 이상일 때(1-2부터)), 소웨등 일부학과는 +3!"
1학년 1학기때 최대 19학점인가요? 학기별 최대 학점 알려주세요ㅠㅠ 21학점은 어디서 본거같은데ㅠㅠ,"19(22는 누계 평점 3.75 이상일 때(1-2부터)), 소웨등 일부학과는 +3!"
기숙사 폐결핵 검사서 병무청에서 찍운거로 제출해도 되나??,1년만 안 지나면 가능해!
시간표 질문입니당4시 30분부터 5시 30분까지 수업이라는 건가요!!!!???,1시간 15분씩 수업이에요
국제학사 빨래방 어딨음????,1층 안쪽에 있어!
다산관 매점이 다산관 몇 층 인가요?,1층 안쪽에 있어!
광교 설거지 어디서 함..? ㅠㅠ,"1층 취사실에서 시켜먹거나, 요리하고 설거지하지!"
기숙사 처음 들어가면 뭐 작성하거나 찍거나 하는 거 없이 그냥 바로 자기 호실로 들어가면 되나요 ?,1층에서 입사신청서 쓰고 들어가야 돼요
마케팅관리가 2학년 때 자동수강되는 과목인가요? 이번에 듣고 싶은데 내년에 자동수강되는거면 굳이 미리 듣진 않으려구요!!!,1학년 때나 자동수강되지 2학년 때는 안될걸? 학교 요람을 찾아봐봐
이비즈 이거 다 들어야되나뇨… 그럼 1학기땐 교양 못듣는건가요?!,1학년때 들을 수 있어. 교양
수업이 이틀로 나눠져있으면 보통 시험은 언제보나요??시간표 수정중인데 잘못하면 하루에 시험 4개일수도 있는데 3개 이상은 무리겠죠??,1학년은 보통 개인 시간표에 관계없이 정해진 날짜에 다 같이 시험을 봐서 하루에 시험을 많이 보는 일은 없을 걸
산공 요람보면 1학년 1학기 개설과목에 자동신청된 거 빼면 창의설계 밖에 없는데 그거 하면 18학점이에요. 근데 19학점 한다는 거는 어떠케한다는거죵..??,1학점 교양
영어2는 원어민 선생님이 아니신가요…?,2는 대부분 한국교수님이 해주시지! 1은 원어민!
선배님들 광교관 무인택배함 시간지나면 요금낸다는데얼마 내는건가요 시간당??체계가 어떻게돼요? 알려주세요ㅠㅜㅜ,"3시간 까지 무료, 이후로는 시간당 요금 추가!"
기숙사 무인택배함 요금 얼마예요??????????,"3시간 까지 무료, 이후로는 시간당 요금 추가!"
무인택배함 짐 어느정도 기간동안 맡겨둘 수 있어요?,3시간까지는 무료고 그 이후로 돈 받아!
팔달관 매점 몇시까지 하나요.?.?,6시까지!
question,answer
재수강 기준 같은거 어디있는지 아시나요..?,"C+이하 재수강 가능, 최대 A0취득 가능!"
나 남제관인데 입사 몇월 몇일 까지 해야됌? 마감기간 있어?,http://dorm.ajou.ac.kr/dorm/board/board01.jsp?search%3Asearch_category%3Acategory=&search%3Asearch_key%3Asearch=article_title&search%3Asearch_val%3Asearch=%EC%9E%85%EC%82%AC&x=0&y=0 여기서 한번 확인해봐!
정시 기숙사 입사생인데 언제부터 입사 가능할까요 ?? 28일 ?? 3월1일??,http://dorm.ajou.ac.kr/dorm/board/board01.jsp?search%3Asearch_category%3Acategory=&search%3Asearch_key%3Asearch=article_title&search%3Asearch_val%3Asearch=%EC%9E%85%EC%82%AC&x=0&y=0 여기서 확인해봐!
[총무팀] 정기 해충방역 시행 안내(수정공지) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114162&article.offset=990&articleLimit=10
[대학일자리플러스센터]  하반기 진로강연 콘서트(현직자 온라인 Live특강) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114163&article.offset=990&articleLimit=10
[국제교류팀] 21-동계 해외단기파견 모집 (~10.31일까지) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114175&article.offset=990&articleLimit=10
[생활관]2021년 2학기 생활관 추가 신청 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114188&article.offset=990&articleLimit=10
「제6회 대학혁신지원사업 Webinar 컨퍼런스」 개최 안내   자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114189&article.offset=990&articleLimit=10
아주대학교 총장후보자 지원 공지 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114190&article.offset=990&articleLimit=10
[성평등상담소] 제2회 성평등 콘텐츠 공모전 안내 (~11/30) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114191&article.offset=990&articleLimit=10
[LINC+] 2021 아주대 웹콘텐츠 기획 아이디어(기획안) 공모전 참여 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114193&article.offset=990&articleLimit=10
(재공지) [비교과교육지원센터] 제1회 아주허브 사용후기 공모전 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114195&article.offset=990&articleLimit=10
(마감임박!!!)<2년간 48개 프로그램 중 단 하나라도 참여한 학생들을 위한 공모전> 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114196&article.offset=990&articleLimit=10
LINC+사업단 뉴스레터 제42호(2021.10) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114197&article.offset=980&articleLimit=10
[학생상담소] 온라인 집단상담 프로그램 참여자 모집 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114203&article.offset=980&articleLimit=10
[Remind][학부] 2021-2학기 최종 구제 등록 기간 안내 (10.25.~10.27.) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114204&article.offset=980&articleLimit=10
[행사] 제8회 의약학 공동심포지엄 개최 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114205&article.offset=980&articleLimit=10
[장학]코로나극복장학(바르게장학)신청_2021.11.1(월)까지 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114209&article.offset=980&articleLimit=10
［임상치의학대학원］   2022-전기 정시모집 전형 신입생 모집 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114211&article.offset=980&articleLimit=10
[국가근로] 2021학년도 2학기 교내 인문대PC실 국가근로장학생 추가선발 공고(구글설문지로 희망근로지 신청 필수) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114212&article.offset=980&articleLimit=10
2021 제2회 아주대학교 온라인 직무박람회 개최 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114213&article.offset=980&articleLimit=10
[대학일자리플러스센터] 2021 물류산업 청년 온라인 채용박람회 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114216&article.offset=980&articleLimit=10
외부 인터넷 장애 관련 안내(완료) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114217&article.offset=980&articleLimit=10
[LINC+] 드론 조종자(3종) 국가자격증 취득과정 신청 안내(~10.31(일)) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114247&article.offset=970&articleLimit=10
[LINC+] 2021 제7회 LINC+ 창업아이디어 경진대회 개최 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114249&article.offset=970&articleLimit=10
[LINC+] 2021-2학기 창업마일리지 적립신청 및 인센티브 안내 (~12.05)   자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114250&article.offset=970&articleLimit=10
(마감임박!) [비교과교육지원센터] 제1회 아주허브 사용후기 공모전 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114252&article.offset=970&articleLimit=10
[홍보] 수원교육지원청 선배동행 참가자 모집 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114256&article.offset=970&articleLimit=10
[대학일자리플러스센터] 2021 “청년 직구(職求)하다” IT 우수 기업 9개 사와 함께하는 채용 행사 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114258&article.offset=970&articleLimit=10
2021 인문인 진로 박람회 신청 안내  (재안내) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114263&article.offset=970&articleLimit=10
[종합지원센터] 아르바이트 공고 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114265&article.offset=970&articleLimit=10
"아주대학교병원 건강증진센터 특별할인 안내(교직원, 재학생, 동문) 자세히 보기",https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114271&article.offset=970&articleLimit=10
[대학일자리플러스센터] 행정조원 모집 안내 (*휴학생만 가능)  자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114272&article.offset=970&articleLimit=10
2022학년도 과학영재교육원 신입생 선발에 따른 성호관 출입제한 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114273&article.offset=960&articleLimit=10
[대학일자리플러스센터] 2021 KT 우수협력사 채용설명회 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114274&article.offset=960&articleLimit=10
[총무팀] 코로나19 확진자 발생 알림 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114275&article.offset=960&articleLimit=10
[대학일자리플러스센터] 현직자와 함께 하는 1: 1모의면접 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114282&article.offset=960&articleLimit=10
(학사과정)2021-동계 계절학기 국내대학 학점교류 신청 안내(21.10.26.) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114287&article.offset=960&articleLimit=10
[국제교류팀]2021년 아주대학교 파란사다리 프로그램 면접대상자 발표 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114291&article.offset=960&articleLimit=10
[대학일자리플러스센터] 금융권(푸르덴셜생명) 선배 초청 특강 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114292&article.offset=960&articleLimit=10
[대학일자리플러스센터] 진로시그널_연구직 공무원편 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114293&article.offset=960&articleLimit=10
[대학일자리플러스센터] 산업프리뷰_애널리스트에게 듣는 산업전망  자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114294&article.offset=960&articleLimit=10
(당일재공지)[국제교류팀] 21-동계 해외단기파견 설명회 (오늘 오후 3시) - 종료 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114297&article.offset=960&articleLimit=10
2021 제2회 아주대학교 온라인 직무박람회 개최 안내(내일부터 시작!) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114298&article.offset=950&articleLimit=10
[국가근로][대학생청소년교육지원] 10월 국가근로/대학생청소년교육지원장학생 온라인 출근부 입력 마감일 및 장학금 지급 예정일 안내(출근부 10/31 마감) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114299&article.offset=950&articleLimit=10
[학생상담소] 온라인 집단상담 프로그램 참여자 모집 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114300&article.offset=950&articleLimit=10
[장학]제 26기 미래에셋 교환장학생 선발안네(2022년 봄학기 파견) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114301&article.offset=950&articleLimit=10
[학습법] 2021-2학기 온라인 학습법 컨설팅 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114302&article.offset=950&articleLimit=10
[학습법] 2021-2학기 온라인 학습법 특강 수강 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114304&article.offset=950&articleLimit=10
[학습법] 2021-2학기 온라인 학습법 특강 신규 콘텐츠 개발자 모집(기간 연장) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114305&article.offset=950&articleLimit=10
[홍보] 2021 창업지원사업 '대학(원)생 (탄소)창업아이템 개발지원' 참가자 모집(~11.09) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114310&article.offset=950&articleLimit=10
<!마감임박!>대학혁신지원사업 프로그램 참여 후기 공모전 안내(~10/31)   자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114312&article.offset=950&articleLimit=10
[메이커스페이스] 파이썬을 활용한 업무 자동화 교육(기초+응용) 교육생 모집 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114318&article.offset=950&articleLimit=10
[대학일자리플러스센터]2021 삼성 청년 SW 아카데미 7기 모집안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114319&article.offset=940&articleLimit=10
[LINC+] 2021 동계 현장실습 운영일정 안내(학생 대상) *재공지 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114329&article.offset=940&articleLimit=10
[재공지] 코로나극복장학(바르게장학)신청_2021.11.1(월)까지 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114330&article.offset=940&articleLimit=10
[공학교육혁신센터] 성균관대 ROBLOX로 배우는 메타버스 기초 교육 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114337&article.offset=940&articleLimit=10
(학사과정)2021-동계 계절학기 국내대학 학점교류 신청 안내(21.10.28.) 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114339&article.offset=940&articleLimit=10
[대학일자리플러스센터] K-디지털 크레딧 신청안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114340&article.offset=940&articleLimit=10
[재공고][포럼]일비[I’ll be]에서 아주대 학생들을 원탁토의 참여자로 초대합니다. 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114341&article.offset=940&articleLimit=10
[총무팀] 코로나19 확진자 발생 알림 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114342&article.offset=940&articleLimit=10
[11월1일] 총장티타임 행사 안내 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114345&article.offset=940&articleLimit=10
[대학일자리플러스센터]소프트웨어학과 진로소학회 설명회 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114347&article.offset=940&articleLimit=10
[대학일자리플러스센터] 2021 환경산업 일자리 박람회 자세히 보기,https://ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=114348&article.offset=930&articleLimit=10
