,0
0,   대통령 부도덕하면 국민 파탄     도덕성 신뢰하나 
1, 속보     과 단일화 협상과정에서 여론조사 협상 테이블 오른 적 없어 
2,문자까지 공개하며  책임 전가     윤석열 안철수 단일화 파국 수순
3,화동 안아주는 윤석열
4,이재명 대선후보  부산 거리 유세 
5,창원 상남분수광장  파란 물결 
6,이재명 대선후보의  독무대 
7,이재명   대통령처럼    쿡 에 글 올려    저도 다르지 않다 
8,   윤미향 이상직 박덕흠 제명  대선과 관계없이 신속 진행 
9, 포토 발언하는 윤호중 더불어민주당 공동선대위원장
10,송영길 대표 옆  찰칵  이준석 대표
11, 대선      흔들리는 텃밭      호남          지지층 결집 비상
12,우상호      단일화  극적 합의돼도 큰 영향 없어 초접전 
13,안철수  정치보복 안한다고 대국민 선언하자    후보들 반응은   차   토론 
14,이준석    경쟁력 충분 단일화 필수 요소 아냐 
15,                              종합 
16,검단 신도시 거주자들과 간담회 갖는 윤석열
17,                              종합 
18,주말 잊고 달리는 이재명
19,이재명    겨냥  전쟁 좋아하는 주술사에 넘어가면 
20,드라이브 인 유세
21,이재명 후보  경기북부 유세
22,      그래서 이재명
23,의원총회 발언하는 윤호중 민주당 원내대표
24,버텨주셔서 감사합니다  나를 위해  이재명 
25,이재명  고향 앞으로 
26,권성동과 강릉 시민들에게 인사하는 윤석열
27,송 대표 지지연설  엄지척 
28,이재명  초대 문화부 장관 이어령 별세에 조문  존경하던 분 
29,      국민경선 입장 표명 없어 단일화 고려할 가치 없다 
30,윤석열   어머니 고향  강릉서 어퍼컷
31,김대중 노벨평화상 기념관  묵념하는 안철수 후보 
32,이재명       윤석열       안철수      심상정        당선가능성 이       윤      
33,현안보고하는 서욱 국방부장관
34,종이배 선물 받은 윤석열 후보
35,인천 찾아 연설하는  
36,대구지하철 화재 참사 기억 공간 방문한 심상정
37,윤석열 후보  정치개혁안 못된 세뇌 공작정치 
38,   단일화 시도     들은 바 없다 계속 립서비스는 도의 아냐 
39,권성동  안철수 측에 단일화 결렬 이유 물어보니  없다 고 해 
40, 포토 취재진 질문에 눈 감은 윤석열
41,엇갈린 단일화 안  이미 결렬  윤  노력중 
42,미소 짓는 이재명 대선후보
43,   지지선언 문화예술인 만나  블랙 중에 블랙 될 가능성 있는데 
44,순천 유세 이어가는 안철수 대선후보
45, 노동자의 도시  울산 찾아 지지 호소하는 이재명
46,더불어민주당 긴급 의원총회 열어
47, 포토 마스크 벗는 윤석열 후보
48,이재명 응원하는 지지자들
49,진정성 믿어달라 문자까지 깐      국힘 문자폭탄에 못봐 
50,민주  김만배 대한항공   김건희 카르텔 진짜 몸통 규명해야 
51,국민의힘  젤렌스키 응원 정부  대러 제재 적극 동참하라 
52,윤석열  강원 유세 시작
53,민주당  이재명표 정치개혁안 당론 채택       도 같은 방향 
54,신원식  정경두  국방장관 멍청 희대의 엉터리 소리 
55,양산 시민들 앞에서 연설하는 이재명 후보
56,송영길  포항 민심 잘 챙기겠습니다 
57,윤석열 측  안철수 존중  충분히 예우갖춰 설명드린 것 
58,안철수  경선에 대한 윤후보 입장 못들어 결론내린 것 협상 시한 종료됐다 
59,이재명  전화면접 조사서 윤석열 오차범위 밖  우위       
60, 현장  윤석열  민주당  열흘 남기고 정치개혁 개헌 운운 사기꾼들 
61,국힘     미사일 발사는 일상  이재명 발언   망언도 이런 망언이 
62,단일화 결렬 포항 유세 이어가는 윤석열 후보
63, 포토 국방위에서 현안보고하는 서욱 국방부 장관
64,민주     기본도 못갖춘 불성실  국힘     거짓말에 인신공격 
65, 공약비교     년 중임제 결선투표       해체 여가부 폐지 
66,새로운물결 김동연 대선후보와 환담하는 정순택 대주교
67,이런 대선은 처음 민주당 텃밭 호남서 펼쳐지는 진풍경
68,이재명 대선후보  다당제 선거제도 개혁 확실히 할 것 
69,심상정    변희수 하사 추모  국방장관이 와서 무릎 꿇어야 
70,권성동  윤핵관인 게 자랑스럽다      윤핵관  논란 재점화
71,     단일화 결렬 여진 계속  책임돌리기  신경전 이유는
72,병무청장  윤석열 부동시 면제 의혹 질의에 대한 답변 
73,지지자들과 악수하는 윤석열
74,    박근혜는 범죄자냐    질문에  검사는 공소장으로 말해 
75,이재명  꽃다발 들고  함박 미소 
76,제주 찾은 이낙연  이재명 지지 호소 
77,       에 책임전가        분열 호도말라 
78,정의     여영국 대표에 임명장 보내 사리분별 똑바로 하라  종합 
79,이재명  따르릉 따르릉 
80,심상정  대선 후보들  우크라 사태 성찰해야     싸잡아 비판
